station_id,station_name,city,line_name,latitude,longitude,station_type,station_tier,interchange_flag,num_platforms,num_entry_exit_gates,num_escalators,num_lifts,num_afc_gates,platform_capacity,max_safe_occupancy,nearby_poi_count,poi_category,connecting_transport_modes
DEL001,Shaheed Sthal,Delhi,Red Line,28.67,77.31,Terminal,Tier-2,0,2,8,4,2,12,1800,2100,10,Transit Hub,Metro;Bus
DEL002,Hindon River,Delhi,Red Line,28.67,77.32,Regular,Tier-2,0,2,6,4,2,10,1800,2100,8,Residential,Metro;Bus
DEL003,Arthala,Delhi,Red Line,28.67,77.33,Regular,Tier-2,0,2,6,4,2,10,1800,2100,8,Residential,Metro;Bus
DEL004,Mohan Nagar,Delhi,Red Line,28.67,77.34,Regular,Tier-2,0,2,6,4,2,10,1800,2100,8,Commercial,Metro;Bus
DEL005,Shyam Park,Delhi,Red Line,28.67,77.35,Regular,Tier-2,0,2,6,4,2,10,1800,2100,8,Residential,Metro;Bus
DEL006,Major Mohit Sharma,Delhi,Red Line,28.67,77.36,Regular,Tier-2,0,2,6,4,2,10,1800,2100,8,Residential,Metro;Bus
DEL007,Raj Bagh,Delhi,Red Line,28.67,77.37,Regular,Tier-2,0,2,6,4,2,10,1800,2100,8,Residential,Metro;Bus
DEL008,Shaheed Nagar,Delhi,Red Line,28.67,77.38,Regular,Tier-2,0,2,6,4,2,10,1800,2100,8,Residential,Metro;Bus
DEL009,Dilshad Garden,Delhi,Red Line,28.67,77.39,Regular,Tier-2,0,2,6,4,2,10,1800,2100,8,Residential,Metro;Bus
DEL010,Jhilmil,Delhi,Red Line,28.67,77.40,Regular,Tier-2,0,2,6,4,2,10,1800,2100,8,Residential,Metro;Bus
DEL011,Mansarovar Park,Delhi,Red Line,28.67,77.41,Regular,Tier-2,0,2,6,4,2,10,1800,2100,8,Residential,Metro;Bus
DEL012,Shahdara,Delhi,Red Line,28.67,77.42,Regular,Tier-2,0,2,6,4,2,10,1800,2100,8,Residential,Metro;Bus
DEL013,Welcome,Delhi,Red Line-Pink Line,28.67,77.43,Interchange,Tier-2,1,4,10,6,4,16,2200,2500,12,Transit Hub,Metro;Bus
DEL014,Seelampur,Delhi,Red Line,28.67,77.44,Regular,Tier-2,0,2,6,4,2,10,1800,2100,8,Residential,Metro;Bus
DEL015,Shastri Park,Delhi,Red Line,28.67,77.45,Regular,Tier-2,0,2,6,4,2,10,1800,2100,8,Residential,Metro;Bus
DEL016,Kashmere Gate,Delhi,Red Line-Yellow Line-Violet Line,28.66,77.22,Interchange,Tier-3,1,6,16,12,8,24,2500,3000,25,Transit Hub,Metro;Rail;Bus
DEL017,Tis Hazari,Delhi,Red Line,28.66,77.21,Regular,Tier-2,0,2,6,4,2,10,1800,2100,8,Commercial,Metro;Bus
DEL018,Pul Bangash,Delhi,Red Line,28.66,77.20,Regular,Tier-2,0,2,6,4,2,10,1800,2100,8,Residential,Metro;Bus
DEL019,Pratap Nagar,Delhi,Red Line,28.66,77.19,Regular,Tier-2,0,2,6,4,2,10,1800,2100,8,Residential,Metro;Bus
DEL020,Shastri Nagar,Delhi,Red Line,28.66,77.18,Regular,Tier-2,0,2,6,4,2,10,1800,2100,8,Residential,Metro;Bus
DEL021,Inderlok,Delhi,Red Line-Green Line,28.67,77.17,Interchange,Tier-2,1,4,10,6,4,16,2200,2500,12,Transit Hub,Metro;Bus
DEL022,Kanhaiya Nagar,Delhi,Red Line,28.68,77.17,Regular,Tier-2,0,2,6,4,2,10,1800,2100,8,Residential,Metro;Bus
DEL023,Keshav Puram,Delhi,Red Line,28.68,77.16,Regular,Tier-2,0,2,6,4,2,10,1800,2100,8,Residential,Metro;Bus
DEL024,Netaji Subhash Place,Delhi,Red Line-Pink Line,28.69,77.15,Interchange,Tier-2,1,4,10,6,4,16,2200,2500,15,Commercial,Metro;Bus
DEL025,Kohat Enclave,Delhi,Red Line,28.69,77.14,Regular,Tier-2,0,2,6,4,2,10,1800,2100,8,Residential,Metro;Bus
DEL026,Pitampura,Delhi,Red Line,28.69,77.13,Regular,Tier-2,0,2,6,4,2,10,1800,2100,8,Residential,Metro;Bus
DEL027,Rohini East,Delhi,Red Line,28.70,77.12,Regular,Tier-2,0,2,6,4,2,10,1800,2100,8,Residential,Metro;Bus
DEL028,Rohini West,Delhi,Red Line,28.70,77.11,Regular,Tier-2,0,2,6,4,2,10,1800,2100,8,Residential,Metro;Bus
DEL029,Rithala,Delhi,Red Line,28.71,77.10,Terminal,Tier-2,0,2,8,4,2,12,1800,2100,10,Residential,Metro;Bus
DEL030,Samaypur Badli,Delhi,Yellow Line,28.74,77.13,Terminal,Tier-2,0,2,8,4,2,12,1800,2100,10,Residential,Metro;Bus
DEL031,Rohini Sector 18, 19,Delhi,Yellow Line,28.73,77.13,Regular,Tier-2,0,2,6,4,2,10,1800,2100,8,Residential,Metro;Bus
DEL032,Haiderpur Badli Mor,Delhi,Yellow Line,28.72,77.14,Regular,Tier-2,0,2,6,4,2,10,1800,2100,8,Residential,Metro;Bus
